pdb_id,label
2d3u,6.92
3cyx,8.0
3uo4,6.52
1p1q,4.89
3ag9,8.05
2wtv,8.74
3dxg,2.4
4tmn,10.17
2zcq,8.82
1q8t,4.76
4des,5.85
1n1m,5.7
1mq6,11.15
2vl4,6.01
2x97,5.66
3k5v,6.3
3jvs,6.54
3fcq,2.77
1kel,7.28
3kgp,2.57
2xy9,9.19
2x00,11.33
2zx6,10.6
3ao4,2.07
2zxd,5.22
3bfu,6.27
2g70,7.77
2j78,6.42
3u9q,4.38
3gbb,6.9
4gid,10.77
3nox,8.66
2pcp,8.7
1w3l,6.28
2vvn,7.3
1qi0,2.35
3bpc,4.8
2vw5,8.52
3muz,3.46
2xhm,6.8
3kwa,4.08
2yge,5.06
4de2,4.12
2wca,5.6
3l7b,2.4
3ozt,4.13
1o5b,5.77
2x8z,7.96
10gs,6.4
3ivg,4.3
3su5,5.58
2xb8,7.59
1nvq,8.25
1oyt,7.24
1sqa,9.21
1hnn,6.24
2xdl,3.1
3udh,2.85
2w66,4.05
3oe5,6.88
2r23,3.72
2qft,5.26
1gpk,5.37
2gss,4.94
3su3,9.13
4djv,6.72
2j62,11.34
1sln,6.64
4djr,11.52
3f3c,6.02
3g0w,9.52
2cbj,8.27
1yc1,6.17
1w4o,5.22
3fk1,2.62
3g2n,4.09
3gy4,5.1
4dew,7.0
3b3w,4.19
2hb1,3.8
2zjw,7.7
1igj,10.0
2brb,4.86
1os0,6.03
1u33,4.6
3utu,10.92
3ejr,8.57
3owj,6.07
3myg,10.7
2weg,6.5
3uri,9.0
3bkk,6.08
3acw,4.76
2qbp,8.4
1e66,9.89
2fvd,8.52
2cet,8.02
1uto,2.27
3mss,4.66
3fv1,9.3
3coy,6.02
1o3f,7.96
1lor,11.06
3vd4,4.82
3pww,7.32
2ymd,3.16
1loq,3.7
2p4y,9.0
3d4z,4.89
2jdm,5.4
3mfv,2.52
3f3a,4.19
1f8d,3.4
1r5y,6.46
3b68,8.4
1vso,4.72
3n86,5.64
3nw9,9.0
3f3e,7.7
3cj2,4.85
1f8b,5.4
3imc,2.96
2y5h,5.79
1a30,4.3
3b3s,2.55
1ps3,2.28
2wbg,4.45
3l4u,7.52
3e93,8.85
2d1o,7.7
1q8u,5.96
3ehy,5.85
3ov1,5.2
4de1,5.96
3nq3,3.78
2qmj,4.21
2xnb,6.83
4g8m,7.89
2xys,7.42
2obf,8.85
3i3b,2.23
1z95,7.12
1w3k,4.3
3dd0,9.0
2vo5,4.89
3pe2,9.76
3kv2,7.32
2xbv,8.43
3pxf,4.43
2yki,9.46
2zwz,7.79
2yfe,6.63
1bcu,3.28
2qbr,6.33
3l3n,8.18
3gnw,9.1
3su2,7.35
3ebp,5.91
3vh9,6.24
1jyq,8.7
1xd0,7.12
2jdy,4.37
1h23,8.35
3l4w,6.0
3ueu,5.24
3g2z,2.36
1lbk,3.18
2zcr,6.87
3lka,2.82
3f80,4.22
3f17,8.63
3ge7,8.7
1hfs,8.7
1zea,5.22
1n2v,4.08
2vot,7.14
1lol,6.39
1f8c,7.4
3n7a,3.7
3gcs,7.25
2ole,7.25
2jdu,6.72
3cft,4.19
3s8o,6.85
2iwx,6.68
2v00,3.66
3huc,5.99
2v7a,8.3
2x0y,4.6
3uex,6.92
2pq9,8.11
1u1b,7.8
4gqq,2.89
