ID,adj.P.Val,P.Value,t,B,logFC,GB_ACC,GI,Gene.Symbol,SPOT_ID
11739128_a_at,1.50E-12,3.04E-17,-1.82E+01,28.875504,-3.46,BC041846.1,NA,CDH3,
11719434_a_at,2.87E-12,1.16E-16,-1.73E+01,27.643798,-2.34,NM_001079675.1,NA,ETV4,
11731795_at,4.66E-12,2.83E-16,-1.67E+01,26.82257,-3.06,NM_173567.4,NA,EPHX4,
11737294_a_at,1.12E-11,9.09E-16,1.60E+01,25.73565,5.41,BC137202.1,NA,TMIGD1,
11734322_at,2.05E-11,2.08E-15,1.55E+01,24.960237,3.33,NM_001201.2,NA,BMP3,
11732838_at,3.06E-11,3.71E-15,1.51E+01,24.414299,4.92,NM_007102.2,NA,GUCA2B,
11718027_a_at,4.86E-11,6.89E-15,-1.47E+01,23.831727,-1.45,NM_001002019.1,NA,PUS1,
11757706_a_at,7.09E-11,1.15E-14,-1.44E+01,23.346887,-1.63,BU536156,NA,DCUN1D5,
11728234_a_at,9.47E-11,1.73E-14,-1.42E+01,22.960722,-3.88,AY358652.1,NA,CLDN1,
11731957_at,1.10E-10,2.23E-14,1.41E+01,22.717872,4.6,NM_033553.2,NA,GUCA2A,
11729172_s_at,1.21E-10,2.72E-14,-1.40E+01,22.528163,-1.19,AB044971.1,NA,NIFK,
11754909_a_at,1.21E-10,2.94E-14,1.39E+01,22.454158,2.94,AK075168.1,NA,C2orf88,
11716383_x_at,1.77E-10,4.67E-14,-1.37E+01,22.013235,-9.45E-01,NM_005998.3,NA,CCT3,
11742188_a_at,1.79E-10,5.28E-14,1.36E+01,21.894654,3.11,EF531618.1,NA,SLC4A4,
11750144_x_at,1.79E-10,5.44E-14,-1.36E+01,21.866984,-9.46E-01,AK300765.1,NA,CCT3,
11750604_a_at,1.96E-10,6.33E-14,-1.35E+01,21.72138,-2.33,AY648295.1,NA,GTF2IRD1,
11750675_x_at,2.84E-10,9.78E-14,1.33E+01,21.305661,1.84,BC157856.1,NA,TMEM236,
11715228_s_at,3.67E-10,1.34E-13,1.31E+01,21.004729,3,,31341260,SLC51B,
11729989_a_at,4.13E-10,1.59E-13,1.30E+01,20.839629,2,NM_001127222.1,NA,CACNA1A,
11754189_s_at,4.50E-10,1.82E-13,1.29E+01,20.709285,2.12,BM907551,NA,AKR1C1 /// AKR1C2,
11723239_a_at,4.77E-10,2.04E-13,1.29E+01,20.600105,2.29,NM_052847.2,NA,GNG7 /// LOC101929097,
11716382_a_at,4.77E-10,2.12E-13,-1.29E+01,20.562112,-8.81E-01,NM_005998.3,NA,CCT3,
11728232_a_at,4.78E-10,2.25E-13,-1.28E+01,20.504322,-4.12,NM_021101.3,NA,CLDN1,
11736281_a_at,4.78E-10,2.32E-13,-1.28E+01,20.476382,-2.98,AJ001417.1,NA,SLC22A3,
11732768_at,5.18E-10,2.63E-13,1.27E+01,20.356814,2.16,NM_173557.2,NA,RNF152,
11745192_a_at,5.18E-10,2.78E-13,1.27E+01,20.30125,2.4,BC006141.1,NA,EPB41L3,
11718028_x_at,5.18E-10,2.97E-13,-1.27E+01,20.239883,-1.23,NM_001002019.1,NA,PUS1,
11740757_s_at,5.18E-10,2.97E-13,-1.27E+01,20.2377,-2.93,U80456.1,NA,SIM2,
